14.08.2018                                                 Dynamic List Display                                                         1
-----------------------------------------------------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------------------------------------------------
| Site|Del. Date |Site Description              |PO No's|Del  No's|HU  No's|        PO Qty|  Org OB Del|  OB Del Qty|    GI Qty|  GR Qty|
| GC84|27.01.2018|Springs Mall                  |     8 |      11 |     10 |          636 |        308 |        298 |      298 |      0 |
| GC86|27.01.2018|Matlosana Mall                |    10 |       8 |      7 |          638 |        309 |        307 |      307 |      0 |
| GC91|27.01.2018|Village View Liquor           |     3 |       2 |      5 |           78 |         64 |         64 |       64 |      0 |
| GC92|27.01.2018|Carletonville Mall            |     8 |       8 |     11 |          423 |        222 |        218 |      218 |      0 |
| GC93|27.01.2018|Mall of the South             |    12 |      13 |     14 |          862 |        493 |        480 |      480 |      0 |
| GC94|27.01.2018|Sebokeng                      |     5 |       6 |     13 |          584 |        370 |        354 |      354 |      0 |
| GC97|27.01.2018|Local Petervale               |     4 |       3 |      6 |          180 |        180 |        180 |      180 |      0 |
| GC98|27.01.2018|Alberton City                 |     9 |      11 |     21 |        1,011 |        696 |        683 |      683 |      0 |
| GD01|27.01.2018|Local Golden Sun              |     3 |       3 |     12 |          414 |        367 |        365 |      365 |      0 |
| GD02|27.01.2018|Local Senderwood              |     1 |       4 |      9 |          274 |        246 |        244 |      244 |      0 |
| GD03|27.01.2018|Dobsonville Mall              |     4 |       4 |     12 |          618 |        385 |        383 |      383 |      0 |
| GD07|27.01.2018|Local Leandra                 |     2 |       3 |      4 |          137 |        109 |        108 |      108 |      0 |
| GD08|27.01.2018|Local Constantia Square       |     1 |       5 |     10 |          273 |        211 |        208 |      208 |      0 |
| GD11|27.01.2018|Alex Mall                     |     7 |       7 |      7 |          343 |        181 |        178 |      178 |      0 |
| GD13|27.01.2018|Local Leondale                |     1 |       1 |      4 |          194 |        180 |        180 |      180 |      0 |
| GF03|27.01.2018|Towers                        |     3 |       7 |     19 |        2,183 |      1,862 |      1,853 |    1,853 |      0 |
| GF05|27.01.2018|Witpoortjie                   |     5 |      13 |     35 |        1,494 |      1,376 |      1,358 |    1,358 |      0 |
| GF07|27.01.2018|Douglasdale                   |     4 |       5 |     15 |          919 |        726 |        719 |      719 |      0 |
| GF10|27.01.2018|Ermelo                        |     4 |       7 |     23 |        1,908 |      1,571 |      1,555 |    1,555 |      0 |
| GF11|27.01.2018|Farramere                     |     5 |       8 |     31 |        1,893 |      1,449 |      1,442 |    1,442 |      0 |
| GF13|27.01.2018|Germiston                     |     7 |       3 |     19 |          955 |        900 |        879 |      879 |      0 |
| GF15|27.01.2018|Heidelberg                    |     5 |       8 |     10 |          763 |        656 |        652 |      652 |      0 |
| GF19|27.01.2018|Birchleigh                    |     7 |       6 |     21 |          994 |        925 |        925 |      925 |      0 |
| GF24|27.01.2018|Lambton                       |     2 |       7 |     23 |        1,257 |        938 |        927 |      927 |      0 |
| GF26|27.01.2018|Midway Mews                   |     5 |       4 |      8 |          414 |        361 |        361 |      361 |      0 |
| GF27|27.01.2018|Edenglen                      |     6 |      14 |     37 |        1,843 |      1,614 |      1,603 |    1,603 |      0 |
| GF29|27.01.2018|Mulbarton Park                |     1 |       8 |     21 |        1,124 |        741 |        727 |      727 |      0 |
| GF30|27.01.2018|Springs Gate                  |     4 |       6 |     25 |          915 |        822 |        820 |      820 |      0 |
| GF34|27.01.2018|Northcliff Square             |     4 |      11 |     35 |        1,591 |      1,415 |      1,404 |    1,404 |      0 |
| GF35|27.01.2018|Brixton                       |     2 |       3 |      7 |          236 |        200 |        199 |      199 |      0 |
| GF43|27.01.2018|Newmarket                     |     1 |       8 |     43 |        2,187 |      1,824 |      1,812 |    1,812 |      0 |
| GF44|27.01.2018|Upington                      |     1 |       1 |      0 |            1 |          1 |          1 |        1 |      0 |
| GF48|27.01.2018|Rhodesdene                    |     2 |       4 |     15 |        1,041 |        933 |        931 |      931 |      0 |
| GF49|27.01.2018|Vryburg                       |     6 |      10 |     23 |        1,508 |      1,275 |      1,266 |    1,266 |      0 |
| GF52|27.01.2018|Sandridge Square              |     3 |      11 |     30 |        1,532 |      1,375 |      1,366 |    1,366 |      0 |
| GF53|27.01.2018|Kuruman Two                   |     2 |       7 |     20 |        1,755 |      1,238 |      1,227 |    1,227 |      0 |
| GF56|27.01.2018|Hazelpark                     |     1 |       5 |     17 |          697 |        453 |        451 |      451 |      0 |
| GF62|27.01.2018|Craighall Park                |     4 |      17 |     35 |        1,727 |      1,567 |      1,564 |    1,564 |      0 |
| GF63|27.01.2018|Northmead Mall                |     1 |       3 |      8 |          419 |        208 |        204 |      204 |      0 |
| GF71|27.01.2018|Elgin                         |     2 |       4 |      6 |          132 |        121 |        119 |      119 |      0 |
| GF77|27.01.2018|Glen Marais                   |     4 |       4 |     31 |        1,404 |      1,239 |      1,238 |    1,238 |      0 |
| GF79|27.01.2018|Preller Walk Mall             |     5 |      39 |     55 |        4,203 |      3,657 |      3,631 |    3,631 |      0 |
| GF82|27.01.2018|Evaton                        |     6 |      14 |     30 |        2,842 |      2,594 |      2,572 |    2,572 |      0 |
| GF87|27.01.2018|Protea Boulevard              |     4 |       4 |     22 |        1,303 |      1,129 |      1,118 |    1,118 |      0 |
| GF88|27.01.2018|Brentwood Park                |     1 |       3 |      1 |          100 |         48 |         45 |       45 |     45 |
| GF92|27.01.2018|Kathu                         |     2 |       4 |      7 |          484 |        277 |        274 |      274 |      0 |
| GF95|27.01.2018|Coachmans Crossing            |     5 |       3 |     18 |          739 |        623 |        620 |      620 |      0 |
| GF96|27.01.2018|Epsom Downs                   |     1 |       1 |      1 |            2 |          1 |          1 |        1 |      0 |
| GF97|27.01.2018|Eyethu Mall                   |     2 |       1 |      2 |          128 |         57 |         57 |       57 |      0 |
| GG01|27.01.2018|Bara City                     |     6 |       4 |     25 |        1,168 |      1,054 |      1,042 |    1,042 |      0 |
| GG05|27.01.2018|Kliptown                      |     4 |       4 |     23 |        1,020 |        865 |        856 |      856 |      0 |
| GG11|27.01.2018|Bophelong                     |     4 |      15 |     44 |        2,668 |      2,518 |      2,464 |    2,464 |      0 |
| GG12|27.01.2018|Senaoane                      |     4 |       6 |     27 |        1,584 |      1,427 |      1,426 |    1,426 |      0 |
| GG17|27.01.2018|Galeshewe                     |     6 |       1 |     10 |          765 |        718 |        718 |      718 |      0 |
| GG24|27.01.2018|Dobsonville                   |     4 |       7 |     39 |        1,855 |      1,496 |      1,488 |    1,488 |      0 |
| GH02|27.01.2018|Summerfields Boskruin         |     4 |      23 |     36 |        2,923 |      2,704 |      2,689 |    2,689 |      0 |
| GH05|27.01.2018|Kilburn Liquor                |     3 |       1 |      3 |          101 |         57 |         57 |       57 |      0 |
| GH07|27.01.2018|Cosmo City                    |     4 |       3 |     21 |          687 |        649 |        624 |      624 |      0 |
| GM51|27.01.2018|Fourways No2                  |     4 |       7 |     22 |          867 |        779 |        771 |      771 |      0 |
| GM54|27.01.2018|Wespark                       |     4 |       8 |     11 |          683 |        566 |        533 |      533 |      0 |
| GO01|27.01.2018|Frikkie Meyer Boulevard       |     5 |       4 |      7 |          217 |        201 |        198 |      198 |      0 |
| GO02|27.01.2018|Empire Road                   |     5 |       3 |      6 |          207 |        197 |        196 |      196 |      0 |
| GO04|27.01.2018|Olivedale                     |     3 |       3 |      3 |           81 |         71 |         70 |       70 |      0 |
| GO06|27.01.2018|Soweto Highway                |     2 |       1 |      3 |           41 |         39 |         39 |       39 |      0 |
| GO15|27.01.2018|Linden Park                   |     1 |       1 |      4 |          105 |        103 |        103 |      103 |      0 |
| GO19|27.01.2018|Elgin                         |     4 |       1 |      3 |           88 |         83 |         83 |       83 |      0 |
| GO22|27.01.2018|Kyalami NTI                   |     2 |       1 |      3 |           73 |         67 |         67 |       67 |      0 |
| GO25|27.01.2018|Vosloorus                     |     5 |       3 |      6 |          134 |        123 |        123 |      123 |      0 |
| GO29|27.01.2018|Strubensvalley Service        |     4 |       1 |      4 |           75 |         65 |         65 |       65 |      0 |
| GO37|27.01.2018|Evaton North                  |     2 |       3 |      1 |           43 |         35 |          5 |        5 |      0 |
| GO51|27.01.2018|Flora Lake                    |     1 |       1 |      1 |           49 |         41 |         41 |       41 |      0 |
| GO61|27.01.2018|Lambton                       |     3 |       3 |      2 |           23 |         20 |         19 |       19 |      0 |
| GS02|27.01.2018|Market Ola'a                  |     1 |       3 |      4 |          104 |         85 |         83 |       83 |      0 |
| GS03|27.01.2018|Market Emabheleni             |     1 |       1 |      1 |            2 |          2 |          2 |        2 |      0 |
| GS09|27.01.2018|Market Bakwena Liqour Store   |     1 |       2 |      5 |          109 |         63 |         47 |       47 |      0 |
| GS10|27.01.2018|Market Phenyo                 |     1 |       1 |     11 |          349 |        296 |        296 |      296 |      0 |
| HB01|27.01.2018|Wholesale Steeledale          |     2 |       1 |      2 |           85 |         84 |         84 |       84 |      0 |
| HC01|27.01.2018|Boksburg                      |     8 |      14 |     35 |        1,653 |      1,069 |      1,056 |    1,056 |      0 |
| HC03|27.01.2018|Bloemfontein                  |     9 |      12 |     15 |        1,719 |        971 |        961 |      961 |      0 |
| HC05|27.01.2018|Norwood                       |     9 |      25 |     30 |        2,646 |      1,861 |      1,769 |    1,769 |      0 |
| HC06|27.01.2018|Woodmead                      |    10 |      12 |     26 |        2,080 |      1,485 |      1,481 |    1,481 |      0 |
| HC07|27.01.2018|Steeledale                    |     6 |       9 |     11 |        1,147 |        593 |        590 |      590 |      0 |
| HC08|27.01.2018|Klerksdorp                    |    11 |      16 |     22 |        2,198 |      1,598 |      1,578 |    1,578 |      0 |
| HC09|27.01.2018|Vaal                          |    10 |      15 |     17 |        1,672 |      1,095 |      1,086 |    1,086 |      0 |
| HC10|27.01.2018|Faerie Glen                   |     8 |      17 |     17 |        1,868 |      1,090 |      1,046 |    1,046 |      0 |
| HC11|27.01.2018|Wonderpark                    |     7 |       8 |      8 |        1,006 |        561 |        556 |      556 |      0 |
| HC14|27.01.2018|Northgate                     |     6 |       9 |     14 |        1,279 |        878 |        874 |      874 |      0 |
| HC16|27.01.2018|Princess Crossing             |     8 |      12 |     18 |        1,819 |      1,303 |      1,290 |    1,290 |      0 |
| HC17|27.01.2018|Montana                       |     8 |      15 |     26 |        2,339 |      1,645 |      1,636 |    1,636 |      0 |
| HC18|27.01.2018|Centurion                     |     7 |      10 |      9 |        1,183 |        593 |        584 |      584 |      0 |
| HC19|27.01.2018|Greenstone                    |     7 |      11 |     16 |        1,497 |        914 |        911 |      911 |      0 |
| HC20|27.01.2018|Soweto                        |     6 |      12 |     14 |        1,265 |        798 |        792 |      792 |      0 |
| NC01|27.01.2018|Lynnwood                      |     8 |       7 |      7 |          367 |        164 |        163 |      163 |      0 |
| NC02|27.01.2018|Gezina                        |     7 |      10 |     10 |          535 |        335 |        327 |      327 |      0 |
| NC03|27.01.2018|Doornkloof                    |    11 |      17 |     22 |        1,172 |        755 |        752 |      752 |      0 |
| NC04|27.01.2018|Rustenburg                    |     8 |       7 |      5 |          463 |        216 |        215 |      215 |      0 |
| NC05|27.01.2018|Savannah                      |     7 |       8 |      7 |          674 |        345 |        340 |      340 |      0 |
| NC06|27.01.2018|Hatfield                      |    10 |      13 |     23 |        1,390 |        985 |        977 |      977 |      0 |
| NC07|27.01.2018|Sinoville                     |     9 |      10 |     13 |          745 |        408 |        405 |      405 |      0 |
| NC08|27.01.2018|Middelburg                    |     8 |      12 |     15 |          998 |        806 |        656 |      656 |      0 |
| NC10|27.01.2018|Quagga                        |    11 |      18 |     27 |        1,342 |      1,061 |      1,043 |    1,043 |      0 |
| NC12|27.01.2018|Witbank                       |    11 |      12 |     16 |        1,342 |        907 |        896 |      896 |      0 |
| NC14|27.01.2018|Tramshed                      |    11 |       9 |     26 |        1,204 |      1,037 |      1,021 |    1,021 |      0 |
| NC15|27.01.2018|Centurion                     |    10 |       8 |     21 |        1,066 |        773 |        771 |      771 |      0 |
| NC16|27.01.2018|Polokwane                     |    10 |      10 |     38 |        1,915 |      1,520 |      1,516 |    1,516 |      0 |
| NC20|27.01.2018|Hillcrest Boulevard           |     8 |      12 |     11 |          540 |        343 |        340 |      340 |      0 |
| NC21|27.01.2018|Wonderboom Junction           |    11 |      22 |     19 |        1,117 |        736 |        730 |      730 |      0 |
| NC22|27.01.2018|Mall at Reds                  |    11 |      14 |     27 |        1,533 |      1,063 |      1,044 |    1,044 |      0 |
| NC23|27.01.2018|Mokopane Mall                 |    13 |      13 |     28 |        2,517 |      2,031 |      2,019 |    2,019 |      0 |
| NC24|27.01.2018|Woodlands Boulevard           |     9 |       9 |     16 |        1,053 |        570 |        567 |      567 |      0 |
| NC27|27.01.2018|Southdowns                    |     8 |       7 |      9 |          548 |        279 |        278 |      278 |      0 |
| NC29|27.01.2018|Hazeldean Square              |     8 |      10 |     14 |          824 |        445 |        441 |      441 |      0 |
| NC30|27.01.2018|Irene Village Mall            |    12 |      20 |     35 |        1,830 |      1,328 |      1,315 |    1,315 |      0 |
| NC35|27.01.2018|The Grove                     |    11 |      13 |     27 |        1,199 |        882 |        859 |      859 |      0 |
| NC36|27.01.2018|Bylsbridge Promenade          |    11 |      12 |     19 |        1,022 |        714 |        707 |      707 |      0 |
| NC37|27.01.2018|Ilanga Mall                   |     8 |       7 |     10 |        1,134 |        604 |        603 |      603 |      0 |
| NC39|27.01.2018|Jubilee Mall                  |    12 |      22 |     36 |        2,647 |      2,276 |      2,232 |    2,232 |      0 |
| NC41|27.01.2018|Middelburg Mall               |    12 |      22 |     18 |        1,852 |      1,297 |      1,175 |    1,175 |      0 |
| NC42|27.01.2018|Mabopane                      |     9 |      12 |     12 |          606 |        472 |        453 |      453 |      0 |
| NC47|27.01.2018|Forest Hill City              |    10 |      11 |     18 |          912 |        630 |        621 |      621 |      0 |
| NC48|27.01.2018|Atteridgeville Maunde Street  |    11 |      13 |     17 |          928 |        660 |        654 |      654 |      0 |
| NC50|27.01.2018|Local Eastdale                |     2 |       4 |     11 |          549 |        474 |        472 |      472 |      0 |
| NC52|27.01.2018|Jean Avenue - Centurion       |     7 |       8 |     12 |          788 |        441 |        438 |      438 |      0 |
| NC54|27.01.2018|Menlyn Mall                   |     9 |      23 |     20 |        1,041 |        787 |        776 |      776 |      0 |
| NC56|27.01.2018|Groblersdal                   |     3 |       3 |      8 |          386 |        204 |        200 |      200 |      0 |
| NC57|27.01.2018|Local White River (Closed)    |     3 |       1 |     10 |          623 |        359 |        359 |      359 |      0 |
| NC58|27.01.2018|Local Polokwane Crescent      |     1 |       3 |      7 |          352 |        300 |        299 |      299 |      0 |
| NC60|27.01.2018|Mabopane Lifestyle            |     3 |       9 |      7 |          272 |        235 |        233 |      233 |      0 |
| NC62|27.01.2018|Olympus                       |     4 |       3 |      9 |          278 |        207 |        203 |      203 |      0 |
| NC65|27.01.2018|Local Letlhabile              |     3 |       9 |     25 |        1,392 |      1,279 |      1,266 |    1,266 |      0 |
| NC67|27.01.2018|Menlyn Maine                  |     6 |       6 |      5 |          244 |        102 |        101 |      101 |      0 |
| NC68|27.01.2018|Kwagga Plaza                  |     5 |       7 |      6 |          293 |        156 |        149 |      149 |      0 |
| NC74|27.01.2018|Thavhani Mall                 |     7 |      10 |      9 |          578 |        327 |        324 |      324 |      0 |
| NC75|27.01.2018|Local Cherry Lane             |     4 |       4 |     21 |        1,664 |        757 |        745 |      745 |      0 |
| NF05|27.01.2018|The Reeds                     |     4 |       7 |     19 |          774 |        660 |        653 |      653 |      0 |
| NF12|27.01.2018|Montana(Closed)               |     5 |       3 |     13 |          430 |        359 |        356 |      356 |      0 |
| NF13|27.01.2018|Barberton                     |     6 |      16 |     36 |        2,663 |      2,415 |      2,413 |    2,413 |      0 |
| NF16|27.01.2018|Lydenburg                     |     2 |       3 |      2 |           99 |         98 |         97 |       97 |      0 |
| NF17|27.01.2018|Rayton                        |     5 |      13 |     38 |        2,737 |      2,394 |      2,390 |    2,390 |      0 |
| NF19|27.01.2018|Bronkhorstspruit              |     4 |      16 |     46 |        3,048 |      2,775 |      2,765 |    2,765 |      0 |
| NF20|27.01.2018|Waterkloof Rand               |     4 |       4 |     18 |          644 |        552 |        551 |      551 |      0 |
| NF26|27.01.2018|Soshanguve                    |     5 |       4 |     16 |        1,008 |        819 |        817 |      817 |      0 |
| NF28|27.01.2018|Equestria Mall                |     1 |      15 |     24 |        1,185 |        958 |        950 |      950 |      0 |
| NF41|27.01.2018|Nkomazi Plaza                 |     4 |       7 |     34 |        1,616 |      1,459 |      1,436 |    1,436 |      0 |
| NF48|27.01.2018|Die Meent                     |     5 |       3 |     17 |          870 |        773 |        764 |      764 |      0 |
| NF49|27.01.2018|Sterland                      |     5 |       7 |     15 |          778 |        717 |        712 |      712 |      0 |
| NF56|27.01.2018|River Crescent                |     2 |       4 |      7 |          263 |        204 |        202 |      202 |      0 |
| NF57|27.01.2018|One on Mutual                 |     5 |       5 |     11 |          212 |        195 |        193 |      193 |      0 |
| NF65|27.01.2018|Ga Rankuwa Mall               |     4 |       3 |      2 |          222 |         71 |         71 |       71 |      0 |
| NM12|27.01.2018|Waterglen                     |     1 |       1 |      2 |           22 |         22 |         22 |       22 |      0 |
| NO15|27.01.2018|Midtown                       |     2 |       1 |      2 |           13 |         13 |         13 |       13 |      0 |
| NO16|27.01.2018|Old Farm                      |     1 |       1 |      1 |           17 |          6 |          6 |        6 |      0 |
| NO20|27.01.2018|Charles Street                |     3 |       1 |      5 |          122 |        121 |        121 |      121 |      0 |
| NO22|27.01.2018|Soshanguve                    |     4 |       1 |      3 |           87 |         82 |         82 |       82 |      0 |
| OR71|27.01.2018|Gauteng Dotcoza Centre        |     1 |       1 |      0 |           90 |         90 |         90 |       90 |      0 |
| GC04|26.01.2018|Bedfordview                   |    14 |      36 |     37 |        2,190 |      1,551 |      1,547 |    1,547 |      0 |
| GC11|26.01.2018|Lonehill                      |    13 |      20 |     39 |        2,315 |      1,822 |      1,816 |    1,816 |      0 |
| GC12|26.01.2018|Rosebank                      |    14 |      12 |     18 |        1,450 |        986 |        986 |      986 |      0 |
| GC13|26.01.2018|Benmore                       |    14 |      16 |     32 |        1,727 |      1,363 |      1,358 |    1,358 |      0 |
| GC16|26.01.2018|Krugersdorp                   |    16 |      33 |     30 |        1,540 |      1,067 |      1,065 |    1,065 |      0 |
| GC18|26.01.2018|Randpark Ridge                |    13 |      13 |     23 |        1,154 |        771 |        768 |      768 |      0 |
| GC20|26.01.2018|Gallo Manor                   |    13 |      14 |     19 |        1,088 |        652 |        642 |      642 |      0 |
| GC21|26.01.2018|Secunda                       |    12 |      13 |     17 |        1,261 |      1,019 |      1,014 |    1,014 |      0 |
| GC22|26.01.2018|Ruimsig                       |    12 |      11 |     17 |          751 |        494 |        493 |      493 |      0 |
| GC24|26.01.2018|Fourways                      |    15 |      38 |     47 |        2,168 |      1,773 |      1,769 |    1,769 |      0 |
| GC27|26.01.2018|The Bridge                    |    15 |      38 |     41 |        1,785 |      1,608 |      1,608 |    1,608 |      0 |
| GC30|26.01.2018|Daveyton                      |    14 |      40 |     49 |        2,466 |      2,214 |      2,207 |    2,207 |      0 |
| GC35|26.01.2018|Cresta                        |    16 |      56 |     25 |        1,477 |      1,038 |      1,036 |    1,036 |      0 |
| GC39|26.01.2018|Carlton Centre                |     8 |       9 |     20 |          887 |        689 |        689 |      689 |      0 |
| GC41|26.01.2018|Welkom                        |    14 |      25 |     23 |        2,223 |      1,736 |      1,729 |    1,729 |      0 |
| GC48|26.01.2018|Potchefstroom                 |    14 |      14 |     19 |        1,695 |      1,090 |      1,087 |    1,087 |      0 |
| GC56|26.01.2018|Vaal Mall                     |    15 |      12 |     17 |        1,536 |      1,036 |      1,034 |    1,034 |      0 |
| GC57|26.01.2018|Lenasia                       |    16 |      41 |     39 |        2,849 |      2,408 |      2,400 |    2,400 |      0 |
| GC58|26.01.2018|Chilli Lane                   |    12 |      31 |     38 |        1,817 |      1,417 |      1,416 |    1,416 |      0 |
| GC59|26.01.2018|New Redruth                   |    13 |      22 |     32 |        1,970 |      1,444 |      1,438 |    1,438 |      0 |
| GC63|26.01.2018|Chris Hani Crossing           |    15 |      18 |     44 |        2,664 |      2,380 |      2,377 |    2,377 |      0 |
| GC74|26.01.2018|Secunda Mall                  |    14 |      19 |     25 |        2,095 |      1,687 |      1,676 |    1,676 |      0 |
| GC75|26.01.2018|Canal Crossing                |    14 |      12 |     17 |        1,495 |        942 |        941 |      941 |      0 |
| GC79|26.01.2018|Dainfern Square               |     5 |       4 |     12 |          867 |        382 |        380 |      380 |      0 |
| GC82|26.01.2018|Blue Hills                    |    13 |      22 |     23 |        1,110 |        726 |        725 |      725 |      0 |
| GC84|26.01.2018|Springs Mall                  |    13 |      38 |     19 |        1,102 |        737 |        718 |      718 |      0 |
| GC96|26.01.2018|Lemo Mall Mangaung            |    13 |      21 |     19 |        1,310 |      1,049 |      1,047 |    1,047 |      0 |
| GD03|26.01.2018|Dobsonville Mall              |     3 |       1 |     12 |          555 |        346 |        346 |      346 |      0 |
| GD06|26.01.2018|Local Bloem Plaza             |     3 |      11 |     29 |        1,325 |      1,137 |      1,128 |    1,128 |      0 |
| GD07|26.01.2018|Local Leandra                 |     2 |       1 |     11 |          415 |        310 |        310 |      310 |      0 |
| GD10|26.01.2018|Botshabelo                    |    13 |       8 |     18 |      936.334 |        705 |        705 |      705 |      0 |
| GD11|26.01.2018|Alex Mall                     |    12 |      16 |     24 |        1,225 |      1,033 |      1,023 |    1,023 |      0 |
| GD13|26.01.2018|Local Leondale                |     3 |       4 |     25 |        1,210 |      1,025 |      1,023 |    1,023 |      0 |
| GF01|26.01.2018|Randburg Waterfront           |     5 |      25 |     74 |        3,560 |      2,868 |      2,845 |    2,845 |      0 |
| GF03|26.01.2018|Towers                        |     3 |       4 |     27 |        2,504 |      2,205 |      2,203 |    2,203 |      0 |
| GF04|26.01.2018|Brackenhurst                  |     4 |       6 |     33 |        2,187 |      1,707 |      1,701 |    1,701 |      0 |
| GF05|26.01.2018|Witpoortjie                   |     6 |      24 |     70 |        3,977 |      3,389 |      3,382 |    3,382 |      0 |
| GF06|26.01.2018|Honey Junction                |     2 |       9 |     38 |        1,452 |      1,189 |      1,174 |    1,174 |      0 |
| GF07|26.01.2018|Douglasdale                   |     4 |      12 |     19 |        1,624 |      1,160 |      1,158 |    1,158 |      0 |
| GF08|26.01.2018|Darras                        |     5 |      10 |     47 |        2,793 |      2,381 |      2,373 |    2,373 |      0 |
| GF09|26.01.2018|Oakfields                     |     4 |      12 |     38 |        2,214 |      1,922 |      1,918 |    1,918 |      0 |
| GF10|26.01.2018|Ermelo                        |     3 |       9 |     19 |        1,516 |      1,093 |      1,038 |    1,038 |      0 |
| GF13|26.01.2018|Germiston                     |     5 |       7 |     40 |        2,084 |      1,796 |      1,777 |    1,777 |      0 |
| GF15|26.01.2018|Heidelberg                    |     5 |      12 |     27 |        2,265 |      1,829 |      1,806 |    1,806 |      0 |
| GF16|26.01.2018|Sherwood                      |     6 |      27 |     59 |        2,886 |      2,412 |      2,402 |    2,402 |      0 |
| GF17|26.01.2018|Bonaero Park                  |     6 |       5 |     18 |          844 |        725 |        722 |      722 |    428 |
| GF21|26.01.2018|Elspark                       |     1 |       1 |      0 |            1 |          1 |          1 |        1 |      0 |
| GF22|26.01.2018|Meyerton                      |     5 |      40 |     47 |        3,789 |      3,265 |      3,258 |    3,258 |      0 |
| GF24|26.01.2018|Lambton                       |     1 |       3 |     10 |          559 |        318 |        317 |      317 |      0 |
| GF25|26.01.2018|Sharon Park                   |     4 |      13 |     37 |        2,071 |      1,701 |      1,688 |    1,688 |      0 |
| GF26|26.01.2018|Midway Mews                   |     4 |       4 |     19 |          835 |        679 |        676 |      676 |      0 |
| GF28|26.01.2018|Vanderbijl                    |     4 |       8 |     50 |        2,046 |      1,776 |      1,770 |    1,770 |      0 |
| GF29|26.01.2018|Mulbarton Park                |     1 |       6 |     24 |        1,361 |        968 |        967 |      967 |      0 |
| GF32|26.01.2018|Standerton                    |     4 |       4 |     17 |        1,082 |        951 |        950 |      950 |      0 |
| GF37|26.01.2018|Strubenvale                   |     5 |      17 |     31 |        2,110 |      1,659 |      1,648 |    1,648 |      0 |
| GF41|26.01.2018|Langehovenpark                |     5 |       3 |     21 |        1,067 |        884 |        883 |      883 |      0 |
| GF42|26.01.2018|Parys                         |     5 |      12 |     25 |        1,825 |      1,347 |      1,342 |    1,342 |      0 |
| GF43|26.01.2018|Newmarket                     |     2 |      12 |     45 |        2,348 |      1,778 |      1,748 |    1,748 |      0 |
| GF46|26.01.2018|Odensdaalsrus                 |     5 |       4 |     38 |        2,591 |      2,212 |      2,208 |    2,208 |      0 |
| GF48|26.01.2018|Rhodesdene                    |     2 |       4 |     19 |        1,018 |        729 |        723 |      723 |      0 |
| GF51|26.01.2018|Kelvin                        |     5 |       5 |      0 |            5 |          5 |          5 |        5 |      0 |
| GF52|26.01.2018|Sandridge Square              |     5 |      28 |     68 |        3,258 |      2,780 |      2,741 |    2,741 |      0 |
| GF56|26.01.2018|Hazelpark                     |     3 |       3 |     10 |          493 |        256 |        254 |      254 |      0 |
| GF57|26.01.2018|Secunda                       |     4 |       4 |     27 |        1,891 |      1,745 |      1,691 |    1,691 |      0 |
| GF58|26.01.2018|Wilro Park                    |     4 |      22 |     61 |        3,247 |      2,550 |      2,526 |    2,526 |      0 |
| GF59|26.01.2018|Van Riebeeck Park             |     1 |       1 |      8 |          385 |        291 |        291 |      291 |      0 |
| GF60|26.01.2018|Vereeniging                   |     6 |       9 |     32 |        2,211 |      1,943 |      1,943 |    1,943 |      0 |
| GF63|26.01.2018|Northmead Mall                |     1 |       6 |      7 |          518 |        294 |        282 |      282 |      0 |
| GF70|26.01.2018|Primrose                      |     4 |      33 |     60 |        2,866 |      2,452 |      2,447 |    2,447 |      0 |
| GF72|26.01.2018|Vanderhof Park                |     5 |      46 |     64 |        4,554 |      3,860 |      3,837 |    3,837 |      0 |
| GF75|26.01.2018|Alex Junction                 |     4 |      25 |     49 |        2,370 |      2,105 |      2,102 |    2,102 |      0 |
| GF76|26.01.2018|Outspan Road                  |     2 |       3 |      7 |          375 |        333 |        329 |      329 |      0 |
| GF85|26.01.2018|Louis Botha                   |     4 |       8 |     21 |          969 |        900 |        818 |      818 |      0 |
| GF87|26.01.2018|Protea Boulevard              |     5 |      10 |     36 |        2,702 |      2,249 |      2,239 |    2,239 |      0 |
| GF88|26.01.2018|Brentwood Park                |     1 |       1 |      4 |           98 |         95 |         95 |       95 |      0 |
| GF89|26.01.2018|Towers at Langenhoven         |     6 |       6 |     41 |        2,797 |      2,183 |      2,180 |    2,180 |      0 |
| GF90|26.01.2018|Kilburn                       |     6 |       4 |     25 |        1,186 |        981 |        980 |      980 |      0 |
| GF91|26.01.2018|Heidelburg Liquor             |     2 |       3 |      4 |          193 |        125 |        109 |      109 |      0 |
| GF96|26.01.2018|Epsom Downs                   |     4 |       5 |     21 |          738 |        638 |        634 |      634 |      0 |
| GF99|26.01.2018|Mulbarton Liquor              |     2 |       1 |      1 |           22 |          9 |          9 |        9 |      0 |
| GG02|26.01.2018|Hendrina                      |     5 |       1 |      7 |          449 |        414 |        414 |      414 |      0 |
| GG06|26.01.2018|Orange Farm                   |     4 |       3 |     17 |          662 |        631 |        627 |      627 |      0 |
| GG07|26.01.2018|Station Road                  |     4 |       4 |     32 |        1,434 |      1,332 |      1,332 |    1,332 |      0 |
| GG08|26.01.2018|Meadowlands                   |     2 |       6 |     26 |          968 |        933 |        929 |      929 |      0 |
| GG11|26.01.2018|Bophelong                     |     1 |       1 |      0 |            1 |          1 |          1 |        1 |      0 |
| GG25|26.01.2018|Ivory Park                    |     4 |      30 |     69 |        3,864 |      3,544 |      3,537 |    3,537 |      0 |
